lng,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4,status,uid_name,lng_wgs84,lat_wgs84,geometry
114.1292016,22.7084197,神盾养车商学院,平龙路与永华街交叉口西80米,广东省,深圳市,平湖,科教文化服务;学校;高等院校,141201,B0H6PDPRV0,科教文化服务,学校,高等院校,,No Uid,,114.1292016,22.7084197,
114.1866824,22.61514023,本焕学院,望桐路1188号文化高地院内,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFGFW2PX,科教文化服务,学校,高等院校,,No Uid,,114.1866824,22.61514023,
114.1895639,22.59463013,国际创意设计学院,赤水洞18号,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0H2F5LOK7,科教文化服务,学校,高等院校,,No Uid,,114.1895639,22.59463013,
114.2004221,22.6827301,深圳北理莫斯科大学,国际大学园路,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFHHKZQA,科教文化服务,学校,高等院校,,Matched,深圳北理莫斯科大学,114.2004221,22.6827301,"POLYGON ((114.19633697278638 22.682433514946954, 114.20228310776588 22.685767858643437, 114.20252563573123 22.685699235951137, 114.20318713774019 22.684334560843592, 114.20328336801836 22.683928805742465, 114.2033535688321 22.68308212481823, 114.20328345752294 22.68244918379259, 114.2030309250133 22.68232984410702, 114.20248276514293 22.682022114004646, 114.20193461593307 22.681417451908114, 114.201589914894 22.68059114446586, 114.20052059417435 22.680123643830687, 114.19944519799621 22.680171980009685, 114.19633697278638 22.682433514946954))"
113.9624535,22.80246679,中国科学院深圳理工大学(建设中),新湖街道光明科学城科教融合集群内北靠公常路,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0G06CPZYD,科教文化服务,学校,高等院校,,No Geometry,,113.9624535,22.80246679,
114.1234605,22.55845311,深圳大学第二临床医学院,东门北路辅路与文锦中路辅路交叉口东北160米,广东省,深圳市,洪湖,科教文化服务;学校;高等院校,141201,B0FFIMTQEE,科教文化服务,学校,高等院校,,No Uid,,114.1234605,22.55845311,
113.9351309,22.53286175,深圳大学-美术与设计学院,南海大道3688号深圳大学内,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0H3D7T4FN,科教文化服务,学校,高等院校,,No Uid,,113.9351309,22.53286175,
114.1976391,22.69347031,香港中文大学(深圳)上园,盐龙大道,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFI9EIYJ,科教文化服务,学校,高等院校,,Matched,香港中文大学(深圳)上园,114.1976391,22.69347031,"POLYGON ((114.19839592750539 22.69485249919886, 114.19874373655587 22.694347270237856, 114.1990023505135 22.693886788439965, 114.19956171806184 22.69266590773966, 114.2003191163519 22.691219096899772, 114.20029660116491 22.691148631645202, 114.20014311713753 22.69105107105035, 114.19998054516091 22.69100780446493, 114.19941124971223 22.691154184170895, 114.19932534598934 22.69123467256633, 114.19919401945525 22.691569985325685, 114.199216345593 22.691832093522724, 114.19919368652313 22.691907431529916, 114.1991439538669 22.69195402697341, 114.19905357608906 22.69199291801627, 114.1989767864445 22.691994103517438, 114.19875112403973 22.691805943464857, 114.19842164044289 22.691552696275515, 114.19796132732266 22.69114724848895, 114.19787336565503 22.6910319273254, 114.19709118256073 22.69183095034219, 114.19671131196965 22.692319775154257, 114.19637683693274 22.69258292340199, 114.19597013155752 22.692822060867115, 114.19586604726155 22.693040173389743, 114.19565825203809 22.693088947097475, 114.19554068574492 22.693240579925707, 114.19532375224487 22.693406096206257, 114.19524674930946 22.69364879538064, 114.19542248924616 22.69406709441793, 114.19580555319574 22.694961522211667, 114.19642381206205 22.69550671772752, 114.19670356857507 22.695810926811102, 114.1971144093764 22.69600485771429, 114.19732671997029 22.695972552601113, 114.19760248874796 22.695685161792397, 114.19776960707043 22.69568682342198, 114.19801583739176 22.695612294657813, 114.19839592750539 22.69485249919886))"
114.1984414,22.68634727,香港中文大学(深圳)医学院,盐龙大道与国际大学园路交叉口,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0J6YA03GN,科教文化服务,学校,高等院校,,No Geometry,,114.1984414,22.68634727,
113.9091114,22.56960813,华南师范大学网络教育学院深圳宝安招生办,新安二路与洪浪南路交叉口南160米,广东省,深圳市,新安,科教文化服务;学校;高等院校,141201,B0FFFYQFDA,科教文化服务,学校,高等院校,,No Geometry,,113.9091114,22.56960813,
114.2035965,22.70706058,香港中文大学(深圳)音乐学院,龙飞大道501号,广东省,深圳市,大运,科教文化服务;学校;高等院校,141201,B0H2BRLOXL,科教文化服务,学校,高等院校,,No Geometry,,114.2035965,22.70706058,
113.9336917,22.52940229,深圳大学-土木与交通工程学院,白石路深圳大学沧海校区,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0FFFD3OQC,科教文化服务,学校,高等院校,,No Uid,,113.9336917,22.52940229,
113.9371497,22.5324223,深圳大学大湾区国际创新学院,深圳大学沧海校区冬筑学生宿舍2层,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0FFLNOBGL,科教文化服务,学校,高等院校,,No Geometry,,113.9371497,22.5324223,
114.2109974,22.71058323,北京中医药大学第五临床医学院,沙田围三街深圳市龙岗区中医院,广东省,深圳市,大运,科教文化服务;学校;高等院校,141201,B0FFK7F4NU,科教文化服务,学校,高等院校,,No Uid,,114.2109974,22.71058323,
113.893155,22.55778613,北京师范大学珠海分校经济管理研究中心宝安分考场,乐平路23号,广东省,深圳市,新安,科教文化服务;学校;高等院校,141201,B02F38K77P,科教文化服务,学校,高等院校,,No Uid,,113.893155,22.55778613,
113.9183274,22.7758286,广东科技学院深圳教学点,汇新智能产业园东南1门东北70米,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFL781MH,科教文化服务,学校,高等院校,,No Uid,,113.9183274,22.7758286,
114.1075515,22.54658266,广州中医药大学第四临床医学院,解放路3015号时珍大厦(老街地铁站G口步行360米),广东省,深圳市,宝安南路沿线,科教文化服务;学校;高等院校,141201,B0FFILJCKH,科教文化服务,学校,高等院校,,No Uid,,114.1075515,22.54658266,
113.9331432,22.52950217,深圳大学沧海校区基础实验检3期,高新南九道深圳大学(沧海校区),广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B0GDDSTTOH,科教文化服务,学校,高等院校,,Matched,深圳大学(粤海校区),113.9331432,22.52950217,"POLYGON ((113.92784007823738 22.53605201323775, 113.92784349370842 22.535662328043948, 113.92752534589435 22.53535188744211, 113.92726094575767 22.53522935878547, 113.92667391842029 22.534095113514297, 113.92589421808977 22.532688016746988, 113.92482319586246 22.53080647936977, 113.92470227860919 22.53063443898675, 113.92463203237746 22.530407537180583, 113.92455441342037 22.5296939663156, 113.9248858115614 22.529646953220137, 113.92563922782361 22.529673588085775, 113.92627939767785 22.52967384736557, 113.9265483104267 22.529696487306897, 113.92765980561215 22.529711365917574, 113.92805870187665 22.529746804301446, 113.92818080284398 22.52985872641137, 113.92931028253318 22.530301774200474, 113.92972193171128 22.530492556071437, 113.93001787744265 22.530572809441093, 113.93023308987884 22.530636081932048, 113.93047148309219 22.53063162004276, 113.93046177304215 22.531041416393833, 113.93074880815814 22.531317564649786, 113.93089677208481 22.531418132217187, 113.93122416272757 22.5317484094884, 113.93159181492796 22.532003622036815, 113.93201789051987 22.532609319250344, 113.93246636211012 22.5326473988395, 113.93278485874029 22.532534888465108, 113.93326481376006 22.53190503238804, 113.93273995036498 22.5314667106696, 113.93179350519735 22.53028488133935, 113.93062735001993 22.528346281433112, 113.93069459352762 22.528283880970204, 113.9314120525332 22.528185272500917, 113.93326428188936 22.528178696067634, 113.9340851500972 22.52815763082132, 113.93445771819037 22.529137860569683, 113.93500969420789 22.529996681039304, 113.93605979923686 22.53100000950546, 113.93731641602484 22.531997320359938, 113.93842656998821 22.532420667872262, 113.938044589632 22.53337492757576, 113.93730899050055 22.534990990010357, 113.93588864376952 22.53426675750308, 113.93465799889346 22.536024097999338, 113.93456529009029 22.5361713483095, 113.93459715105536 22.536292887832712, 113.93491679799682 22.536599525696445, 113.93539625154621 22.53724826440667, 113.93560091357567 22.537561491759526, 113.93567762495167 22.537655752850274, 113.93582465986933 22.537714692453577, 113.93588589216235 22.53771008532369, 113.93612361300943 22.538018250371, 113.93644484400171 22.538167073452577, 113.93670283611618 22.538469097092495, 113.93700487033523 22.53885883386858, 113.9377607395078 22.539789610160938, 113.9382370386745 22.54040849903819, 113.93895691169038 22.54134630415695, 113.9388146837377 22.541438464728504, 113.93867485497783 22.5414659239917, 113.93866446719709 22.54147804261472, 113.93866606032768 22.541583533267406, 113.9386604661999 22.541605242374462, 113.9386436863879 22.54161487304631, 113.93852153517396 22.541637998855556, 113.93844522281844 22.54175943315782, 113.93834194672363 22.541801621975992, 113.93824515466872 22.54200758844606, 113.93806994794258 22.542403087369603, 113.9380333902365 22.542439952387376, 113.93732273804562 22.542365154910488, 113.93730968643095 22.54165602153472, 113.93691924209479 22.541628227734584, 113.93673991358955 22.542378304097046, 113.93508475614568 22.542317416616676, 113.93402037834888 22.54226423167157, 113.93160073901208 22.5422320743163, 113.93159194866054 22.542199290082014, 113.9316120519509 22.54173748520082, 113.93157759264318 22.5415473504545, 113.93154242558069 22.541534606543138, 113.93103408666336 22.541538700345704, 113.93099572055736 22.54154825925954, 113.93097493656622 22.54160268832491, 113.93079266761374 22.54225743199054, 113.9302081753566 22.54229732221358, 113.92999778114667 22.541750171152866, 113.929441847167 22.541735701056165, 113.92935189239304 22.5423360995053, 113.9288631861519 22.542371712608006, 113.92775604197169 22.54237469137105, 113.92746915965634 22.542272996860966, 113.92736264457922 22.54213165228203, 113.92733271714076 22.54108475229748, 113.92738162308608 22.540216832578032, 113.92734166524792 22.539945802512445, 113.9273812133478 22.538321734834604, 113.92738169573083 22.53655692561732, 113.92783897295485 22.536183908119998, 113.92784007823738 22.53605201323775))"
113.8683445,22.7702138,中山大学土木工程学院,公明西环大道与横坑工业路交叉口东北40米,广东省,深圳市,公明,科教文化服务;学校;高等院校,141201,B0G23ZBXWD,科教文化服务,学校,高等院校,,No Uid,,113.8683445,22.7702138,
114.2226844,22.55644742,深圳大学工业设计特色学院,沙头角地铁站B口步行440米,广东省,深圳市,沙头角,科教文化服务;学校;高等院校,141201,B0FFG0G7VI,科教文化服务,学校,高等院校,,No Uid,,114.2226844,22.55644742,
114.222422,22.55672918,深圳大学工业设计特色学院D座,盛田一街与工业东街交叉口东40米,广东省,深圳市,沙头角,科教文化服务;学校;高等院校,141201,B0IGY5GEJ9,科教文化服务,学校,高等院校,,No Uid,,114.222422,22.55672918,
113.8388539,22.65596594,深圳职业技术学院(宝安校区),学子路西50米,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFIMTPTQ,科教文化服务,学校,高等院校,,No Uid,,113.8388539,22.65596594,
113.9481053,22.80096776,中山大学深圳校区理学园,公常路辅路与荔美北街交叉口西北220米,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0HR3HCJWN,科教文化服务,学校,高等院校,,No Geometry,,113.9481053,22.80096776,
113.9481919,22.80365963,中山大学(深圳校区),公常路66号,广东省,深圳市,,科教文化服务;学校;高等院校,141201,B0FFI76FPP,科教文化服务,学校,高等院校,,No Uid,,113.9481919,22.80365963,
113.9330892,22.53003523,深圳大学机电与控制工程学院-机械设计制造及其自动化系,南海大道3688号深圳大学沧海校区,广东省,深圳市,后海,科教文化服务;学校;高等院校,141201,B02F38R88P,科教文化服务,学校,高等院校,,No Uid,,113.9330892,22.53003523,
